,date,calendar_code,request_count,site_count,max_temp,min_temp,precipitation,events
0,2014-09-01,0.0,165.0,6,30.6,22.8,0.0,Rain
1,2014-09-02,1.0,138.0,7,32.8,22.8,15.5,Rain-Thunderstorm
2,2014-09-03,1.0,127.0,7,29.4,18.3,0.0,None
3,2014-09-04,1.0,174.0,7,29.4,17.2,0.0,None
4,2014-09-05,1.0,196.0,7,30.6,21.7,0.0,Fog
5,2014-09-06,1.0,314.0,7,32.8,22.2,9.9,Rain-Thunderstorm
6,2014-09-07,1.0,156.0,7,27.2,17.8,0.0,None
7,2014-09-08,1.0,150.0,7,23.3,17.8,0.0,None
8,2014-09-09,1.0,137.0,7,24.4,20.6,0.0,None
9,2014-09-10,1.0,156.0,7,26.7,17.8,0.0,None
10,2014-09-11,1.0,135.0,7,30.0,20.6,0.0,None
11,2014-09-12,1.0,187.0,7,24.4,15.6,0.0,None
12,2014-09-13,1.0,342.0,7,21.1,12.8,11.7,Rain
13,2014-09-14,1.0,202.0,7,20.6,9.4,0.0,None
14,2014-09-15,1.0,141.0,7,22.8,8.3,0.0,None
15,2014-09-16,1.0,101.0,7,23.9,13.3,2.8,Rain
16,2014-09-17,1.0,171.0,7,23.3,11.7,0.0,None
17,2014-09-18,1.0,168.0,7,22.2,10.6,0.0,None
18,2014-09-19,1.0,222.0,7,21.7,12.2,0.0,None
19,2014-09-20,1.0,265.0,6,25.6,14.4,0.0,None
20,2014-09-21,1.0,213.0,7,26.7,16.1,0.0,None
21,2014-09-22,1.0,150.0,7,22.2,10.0,0.0,None
22,2014-09-23,1.0,154.0,8,21.1,6.1,0.0,None
23,2014-09-24,1.0,154.0,7,22.8,10.0,2.8,Rain
24,2014-09-25,1.0,203.0,7,17.8,13.9,26.9,Rain
25,2014-09-26,1.0,216.0,7,25.6,11.1,0.0,None
26,2014-09-27,1.0,267.0,7,28.3,11.7,0.0,None
27,2014-09-28,1.0,246.0,6,27.2,13.3,0.0,None
